time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20161204:0100,10.15,51.15,0.0,0.0,0.0,286.8,3.93,234.0,95709.0
20161204:0200,9.79,51.55,0.0,0.0,0.0,290.0,3.86,239.0,95662.0
20161204:0300,9.7,52.55,0.0,0.0,0.0,305.8,3.93,245.0,95680.0
20161204:0400,9.36,56.9,0.0,0.0,0.0,312.0,3.1,251.0,95624.0
20161204:0500,8.98,60.2,0.0,0.0,0.0,315.8,2.41,252.0,95633.0
20161204:0600,8.75,62.15,0.0,0.0,0.0,320.6,2.21,241.0,95662.0
20161204:0700,8.93,63.0,26.0,0.0,26.0,316.2,2.21,242.0,95699.0
20161204:0800,10.36,58.4,150.0,75.23,129.0,319.0,2.14,232.0,95793.0
20161204:0900,12.96,47.6,254.0,104.47,210.0,317.6,2.55,228.0,95831.0
20161204:1000,14.77,42.65,370.0,195.96,268.0,330.8,3.31,197.0,95840.0
20161204:1100,15.14,45.85,535.0,550.39,221.0,342.4,3.59,192.0,95793.0
20161204:1200,16.09,45.75,317.0,63.42,281.0,335.8,3.31,180.0,95690.0
20161204:1300,16.56,44.6,384.0,244.02,259.0,348.8,3.86,172.0,95615.0
20161204:1400,17.0,42.7,169.0,12.26,164.0,351.4,3.93,166.0,95596.0
20161204:1500,17.11,40.75,105.0,15.27,101.0,356.6,4.14,158.0,95568.0
20161204:1600,16.74,40.25,31.0,35.61,28.0,360.0,4.21,154.0,95586.0
20161204:1700,15.78,40.55,0.0,0.0,0.0,353.4,4.55,152.0,95586.0
20161204:1800,14.5,42.95,0.0,0.0,0.0,337.0,4.69,158.0,95662.0
20161204:1900,14.73,42.2,0.0,0.0,0.0,342.6,4.62,157.0,95690.0
20161204:2000,13.97,43.25,0.0,0.0,0.0,325.0,4.41,161.0,95709.0
20161204:2100,13.15,46.25,0.0,0.0,0.0,315.6,4.21,161.0,95728.0
20161204:2200,12.58,51.2,0.0,0.0,0.0,323.8,3.03,166.0,95737.0
20161204:2300,11.78,64.0,0.0,0.0,0.0,322.8,1.79,194.0,95690.0
20161205:0000,12.67,54.35,0.0,0.0,0.0,343.0,0.9,214.0,95737.0
20161205:0100,11.9,63.5,0.0,0.0,0.0,346.45,1.1,87.0,95699.0
20161205:0200,11.6,61.0,0.0,0.0,0.0,349.8,2.62,88.0,95652.0
20161205:0300,11.18,63.35,0.0,0.0,0.0,338.8,3.03,107.0,95643.0
20161205:0400,10.68,65.7,0.0,0.0,0.0,324.4,3.31,107.0,95643.0
20161205:0500,10.0,69.25,0.0,0.0,0.0,311.0,3.31,95.0,95671.0
